동,외국인 수
소계,"426,743"
소계,"12,009"
사직동,404
삼청동,87
부암동,379
평창동,430
무악동,96
교남동,326
가회동,154
종로1.2.3.4가동,811
종로5.6가동,587
이화동,673
창신1동,"1,176"
창신2동,"1,786"
창신3동,279
숭인1동,486
숭인2동,884
청운효자동,229
혜화동,"3,222"
소계,"12,639"
소공동,521
회현동,607
명동,614
필동,937
장충동,"1,084"
광희동,"1,648"
을지로동,230
신당5동,679
황학동,"1,488"
중림동,498
신당동,"2,321"
다산동,822
약수동,454
청구동,387
동화동,349
소계,"18,279"
후암동,766
용산2가동,"1,453"
남영동,691
원효로2동,233
효창동,218
용문동,220
이촌1동,"1,343"
이촌2동,191
이태원1동,"1,987"
이태원2동,"1,721"
서빙고동,801
보광동,"1,832"
청파동,"1,042"
원효로1동,719
한강로동,"2,093"
한남동,"2,969"
소계,"12,447"
왕십리2동,674
마장동,"1,138"
사근동,"2,090"
행당1동,536
행당2동,230
응봉동,155
금호1가동,226
금호4가동,414
성수1가1동,610
성수1가2동,526
성수2가1동,"1,006"
성수2가3동,418
송정동,736
용답동,"1,545"
왕십리도선동,935
금호2.3가동,439
옥수동,769
소계,"21,653"
화양동,"3,739"
군자동,"2,740"
중곡1동,710
중곡2동,698
중곡3동,519
중곡4동,717
능동,471
구의1동,"1,167"
구의2동,848
구의3동,621
광장동,370
자양1동,"1,814"
자양2동,763
자양3동,632
자양4동,"5,844"
소계,"21,766"
회기동,"2,693"
휘경1동,"2,620"
휘경2동,"1,117"
청량리동,965
용신동,"2,403"
제기동,"2,789"
전농1동,926
전농2동,627
답십리2동,590
장안1동,"1,081"
장안2동,729
이문1동,"3,741"
이문2동,755
답십리1동,730
소계,"9,698"
면목2동,709
면목4동,627
면목5동,261
면목7동,623
상봉1동,337
상봉2동,664
중화1동,375
중화2동,999
묵1동,432
묵2동,489
망우3동,637
신내1동,385
신내2동,192
면목본동,"1,496"
면목3.8동,787
망우본동,685
소계,"15,657"
돈암1동,203
돈암2동,257
안암동,"2,346"
보문동,639
정릉1동,292
정릉2동,430
정릉3동,"1,711"
정릉4동,727
길음1동,384
길음2동,290
월곡1동,476
월곡2동,803
장위1동,463
장위2동,450
장위3동,266
성북동,648
삼선동,813
동선동,885
종암동,"2,155"
석관동,"1,419"
소계,"7,225"
번1동,717
번2동,242
번3동,215
수유1동,452
수유2동,352
수유3동,790
삼양동,430
미아동,868
송중동,"1,004"
송천동,899
삼각산동,294
우이동,393
인수동,569
소계,"4,882"
쌍문1동,543
쌍문2동,365
쌍문3동,364
쌍문4동,134
방학1동,519
방학2동,508
방학3동,192
창1동,314
창2동,555
창3동,268
창4동,187
창5동,250
도봉1동,362
도봉2동,321
소계,"7,829"
월계1동,975
월계2동,427
월계3동,406
공릉2동,"1,437"
하계1동,656
하계2동,144
중계본동,149
중계1동,208
중계4동,114
상계1동,331
상계2동,327
상계5동,313
상계8동,122
상계9동,235
상계10동,126
상계3.4동,300
상계6.7동,311
중계2.3동,345
공릉1동,903
소계,"9,026"
녹번동,760
불광1동,648
갈현1동,458
갈현2동,675
구산동,615
대조동,736
응암1동,673
응암2동,465
신사1동,455
신사2동,304
증산동,242
수색동,156
진관동,595
불광2동,640
응암3동,689
역촌동,915
소계,"16,636"
천연동,419
홍제1동,459
홍제3동,301
홍제2동,205
홍은1동,408
홍은2동,"1,153"
남가좌1동,439
남가좌2동,"1,567"
북가좌1동,296
북가좌2동,715
충현동,699
북아현동,529
신촌동,"5,592"
연희동,"3,854"
소계,"14,499"
용강동,656
대흥동,"1,920"
염리동,534
신수동,585
서교동,"2,323"
합정동,599
망원1동,604
망원2동,445
연남동,"1,288"
성산1동,571
성산2동,607
상암동,950
도화동,474
서강동,"1,004"
공덕동,"1,231"
아현동,708
소계,"8,335"
목1동,326
목2동,512
목3동,423
목4동,467
신월1동,717
신월2동,436
신월3동,476
신월4동,304
신월5동,373
신월6동,133
신월7동,410
신정1동,255
신정2동,262
신정3동,973
신정6동,126
신정7동,438
목5동,269
신정4동,"1,435"
소계,"12,701"
염창동,293
등촌1동,380
등촌2동,269
등촌3동,472
화곡본동,999
화곡2동,676
화곡3동,396
화곡4동,736
화곡6동,532
화곡8동,"1,003"
가양1동,489
가양2동,217
가양3동,273
발산1동,407
공항동,"1,226"
방화1동,665
방화2동,636
방화3동,341
화곡1동,"2,192"
우장산동,499
소계,"52,433"
신도림동,658
구로1동,354
구로3동,"3,650"
구로4동,"8,677"
구로5동,"5,639"
고척1동,704
고척2동,"1,306"
개봉2동,"1,093"
개봉3동,943
오류1동,"1,429"
수궁동,812
가리봉동,"7,833"
구로2동,"15,249"
개봉1동,"1,949"
오류2동,"1,707"
항동,430
소계,"30,878"
가산동,"4,979"
독산1동,"3,850"
독산2동,"3,337"
독산3동,"7,431"
독산4동,"3,598"
시흥1동,"3,922"
시흥2동,352
시흥3동,389
시흥4동,"1,651"
시흥5동,"1,369"
소계,"50,999"
여의도동,718
당산1동,791
당산2동,832
양평1동,527
양평2동,401
신길1동,"2,976"
신길3동,"2,272"
신길4동,"1,665"
신길5동,"2,247"
신길6동,"1,894"
신길7동,452
대림1동,"5,360"
대림2동,"12,926"
대림3동,"7,614"
영등포본동,"4,184"
영등포동,"1,139"
도림동,"4,532"
문래동,469
소계,"17,195"
노량진2동,"1,315"
상도1동,"2,151"
상도2동,570
상도3동,750
상도4동,826
사당1동,"1,023"
사당3동,515
사당4동,349
사당5동,262
대방동,809
신대방1동,"4,065"
신대방2동,553
흑석동,"2,552"
노량진1동,621
사당2동,834
소계,"27,467"
보라매동,"1,018"
청림동,246
행운동,935
낙성대동,"2,051"
중앙동,752
인헌동,610
남현동,434
서원동,"1,253"
신원동,"1,890"
서림동,"1,054"
신사동,"4,872"
신림동,"1,242"
난향동,335
조원동,"3,058"
대학동,"1,177"
은천동,"1,069"
성현동,525
청룡동,"2,077"
난곡동,"1,084"
삼성동,431
미성동,"1,354"
소계,"9,139"
서초1동,435
서초2동,706
서초3동,733
서초4동,629
잠원동,501
반포본동,61
반포1동,833
반포2동,456
반포3동,225
반포4동,"1,032"
방배본동,466
방배1동,341
방배2동,330
방배3동,270
방배4동,559
양재1동,860
양재2동,433
내곡동,269
소계,"11,018"
신사동,503
논현1동,"1,054"
논현2동,676
삼성1동,475
삼성2동,652
대치1동,212
대치4동,521
역삼1동,"1,547"
역삼2동,675
도곡1동,319
도곡2동,561
개포1동,87
개포4동,375
일원본동,160
일원1동,306
일원2동,183
수서동,222
세곡동,529
압구정동,621
청담동,686
대치2동,387
개포2동,267
소계,"13,211"
풍납1동,"1,296"
풍납2동,380
거여1동,190
거여2동,197
마천1동,441
마천2동,414
방이1동,206
방이2동,962
오륜동,113
오금동,567
송파1동,694
송파2동,321
석촌동,"1,178"
삼전동,786
가락본동,656
가락1동,290
가락2동,429
문정1동,367
문정2동,466
잠실본동,"1,004"
잠실4동,192
잠실6동,290
잠실7동,108
잠실2동,364
잠실3동,450
장지동,414
위례동,436
소계,"9,122"
명일1동,203
명일2동,101
고덕1동,286
고덕2동,338
암사2동,134
암사3동,147
천호1동,603
천호3동,951
성내1동,352
성내2동,"1,277"
성내3동,473
둔촌1동,*
둔촌2동,392
암사1동,721
천호2동,"1,403"
길동,785
강일동,498
상일1동,310
상일2동,148
